Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Venue Key,Venue Rank,IC Domain,Abstract,DOI,PDF Link,Source URL,IEEE Article Number,Quality Score,Collection Method,Download Status,Article Citation Count
A Low Noise and Linearity Improvement CMOS Image Sensor for Surveillance Camera with Skew-Relaxation Local Multiply Circuit and On-Chip Testable Ramp Generator,Wataru Saito; Yoichi Iizuka; Norihito Kato; Ryota Otake; Fukashi Morishita,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,"Biomedical, Sensor & Imaging IC",,10.1109/a-sscc53895.2021.9634710,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634710,https://doi.org/10.1109/a-sscc53895.2021.9634710,9634710,99.9,crossref_venue_year:2021,publisher_pdf_requires_session,4
A Millimeter-Scale Computing System with Adaptive Dynamic Load Power Tracking,Seokhyeon Jeong; Yejoong Kim; Yuyang Li; Inhee Lee,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634758,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634758,https://doi.org/10.1109/a-sscc53895.2021.9634758,9634758,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
A Multi-phase Series-Parallel with Bond Wire Auxiliary Fully-Integrated 250pF Switched-Capacitor with 13.6mV output ripple for Supplying Temperature Sensor with 0.1°C Accuracy to Early Detect COVID-19,Shu-Yung Lin; Chin-Hsiang Liang; Kai-Syun Chang; Ke-Horng Chen; Ying-Hsi Lin; Shian-Ru Lin; Tsung-Yen Tsai,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634808,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634808,https://doi.org/10.1109/a-sscc53895.2021.9634808,9634808,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
A Neural Stimulation IC Based on a Reconfigurable Current DAC with In-Situ Neural Recording Function for Cochlear Implant Systems,Woojin Ahn; Doohee Kim; Jonghyeok Park; Jeong Hoan Park; Taeju Lee; Kyeongwon Jeong; Kyou Sik Min; Hoseung Lee; Minkyu Je,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,"Biomedical, Sensor & Imaging IC",,10.1109/a-sscc53895.2021.9634834,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634834,https://doi.org/10.1109/a-sscc53895.2021.9634834,9634834,99.8,crossref_venue_year:2021,publisher_pdf_requires_session,2
A Programmable 6T SRAM-Based PUF with Dynamic Stability Data Masking,Lu Lu; Tony Tae-Hyoung Kim,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Memory & Compute-in-Memory,,10.1109/a-sscc53895.2021.9634755,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634755,https://doi.org/10.1109/a-sscc53895.2021.9634755,9634755,89.9,crossref_venue_year:2021,publisher_pdf_requires_session,3
A Reconfigurable Matrix Multiplication Coprocessor with High Area and Energy Efficiency for Visual Intelligent and Autonomous Mobile Robots,Jipeng Wang; Yi Zhan; Zhaoxu Wang; Zixuan Peng; Jiarui Xu; Bingqiang Liu; Guoyi Yu; Fengwei An; Chao Wang; Xuecheng Zou,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Digital IC & Architecture,,10.1109/a-sscc53895.2021.9634793,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634793,https://doi.org/10.1109/a-sscc53895.2021.9634793,9634793,90.2,crossref_venue_year:2021,publisher_pdf_requires_session,10
"A Single-Channel 1.75GS/s, 6-Bit Flash-Assisted SAR ADC with Self-Adaptive Timer and On-Chip Offset Calibration",Yu-Sian Liao; Wei-Zen Chen,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc53895.2021.9634816,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634816,https://doi.org/10.1109/a-sscc53895.2021.9634816,9634816,100,crossref_venue_year:2021,publisher_pdf_requires_session,5
A Sort-Less FPGA-Based Non-Maximum Suppression Accelerator using Multi-Thread Computing and Binary Max Engine for Object Detection,Chaoming Fang; Habib Derbyshire; Wenyu Sun; Jinshan Yue; Haobing Shi; Yongpan Liu,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Digital IC & Architecture,,10.1109/a-sscc53895.2021.9634708,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634708,https://doi.org/10.1109/a-sscc53895.2021.9634708,9634708,90,crossref_venue_year:2021,publisher_pdf_requires_session,6
A Synthesizable 0.0060mm 2 VCO-Based Delta Sigma Modulator with Digital Tri-level Feedback Scheme,Jue Wang; Zhenyu Yang; Jiawei Wang; Xu Cheng; Jun Han; Xiaoyang Zeng,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Clocking & Frequency Generation,,10.1109/a-sscc53895.2021.9634735,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634735,https://doi.org/10.1109/a-sscc53895.2021.9634735,9634735,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
A Two-Tone Wake-Up Receiver with an Envelope-Detector-First Architecture Using Envelope Biasing and Active Inductor Load Achieving 41/33dB In-Band Rejection to CW/AM Interference,Dawei Ye; Yuting Tu; Wenjun Gong; Rongjin Xu; C. -J. Richard Shi,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,RF/mmWave & Wireline,,10.1109/a-sscc53895.2021.9634739,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634739,https://doi.org/10.1109/a-sscc53895.2021.9634739,9634739,99.9,crossref_venue_year:2021,publisher_pdf_requires_session,4
A Wirelessly-Powered 10Mbps 46-pJ/b Body Channel Communication System with 45% PCE Multi-Stage and Multi-Source Rectifier for Neural Interface Applications,Byeongseol Kim; Beomjin Yuk; Joonsung Bae,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,RF/mmWave & Wireline,,10.1109/a-sscc53895.2021.9634761,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634761,https://doi.org/10.1109/a-sscc53895.2021.9634761,9634761,90.2,crossref_venue_year:2021,publisher_pdf_requires_session,11
A current-integrated differential NAND-structured PUF for stable and V/T variation-tolerant low-cost IoT security,Jongmin Lee; Yoonmyung Lee,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Memory & Compute-in-Memory,,10.1109/a-sscc53895.2021.9634806,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634806,https://doi.org/10.1109/a-sscc53895.2021.9634806,9634806,90,crossref_venue_year:2021,publisher_pdf_requires_session,5
A process scalable voltage-reference-free temperature sensor utilizing MOSFET threshold voltage variation,Shogo Harada; Mahfuzul Islam; Takashi Hisakado; Osami Wada,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc53895.2021.9634727,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634727,https://doi.org/10.1109/a-sscc53895.2021.9634727,9634727,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,2
A ± 20-ppm -50°C-105°C 1-µA 32.768-kHz Clock Generator with a System-HFXO-Assisted Background Calibration,Chun-Yu Lin; Yu-Wei Huang; Tsung-Hsien Lin,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Clocking & Frequency Generation,,10.1109/a-sscc53895.2021.9634827,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634827,https://doi.org/10.1109/a-sscc53895.2021.9634827,9634827,90,crossref_venue_year:2021,publisher_pdf_requires_session,5
A-SSCC 2021 Committee Page,,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634730,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634730,https://doi.org/10.1109/a-sscc53895.2021.9634730,9634730,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
A-SSCC 2021 Cover Page,,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634726,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634726,https://doi.org/10.1109/a-sscc53895.2021.9634726,9634726,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
A-SSCC 2021 Forward,,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634178,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634178,https://doi.org/10.1109/a-sscc53895.2021.9634178,9634178,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
A-SSCC 2021 Welcome Message,,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634840,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634840,https://doi.org/10.1109/a-sscc53895.2021.9634840,9634840,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
An 8.7 μJ/class. FFT accelerator and DNN-based configurable SoC for Multi-Class Chronic Neurological Disorder Detection,Zain Taufique; Bingzhao Zhu; Gianluca Coppola; Mahsa Shoaran; Wala Saadeh; Muhammad Awais Bin Altaf,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Digital IC & Architecture,,10.1109/a-sscc53895.2021.9634763,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634763,https://doi.org/10.1109/a-sscc53895.2021.9634763,9634763,100.2,crossref_venue_year:2021,publisher_pdf_requires_session,10
An Adaptive Clocking System using Supply Tracking Clock Modulator with Background Calibrated Supply-Sensitivity in 28nm CMOS,Dongin Kim; SeongHwan Cho,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634718,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634718,https://doi.org/10.1109/a-sscc53895.2021.9634718,9634718,99.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
An Arithmetic Progression Switched-Capacitor DC-DC Converter with Soft VCR Transitions Achieving 93.7% Peak Efficiency and 400 mA Output Current,Yang Jiang; Man-Kay Law; Pui-In Mak; Rui P. Martins,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Power Management,,10.1109/a-sscc53895.2021.9634798,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634798,https://doi.org/10.1109/a-sscc53895.2021.9634798,9634798,90,crossref_venue_year:2021,publisher_pdf_requires_session,5
An Efficient and Reliable Negative Margin Timing Error Detection for Neural Network Accelerator without Accuracy Loss in 28nm CMOS,Ziyu Li; Weiwei Shan; Chengjun Wu; Haitao Ge; Jun Yang,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Digital IC & Architecture,,10.1109/a-sscc53895.2021.9634809,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634809,https://doi.org/10.1109/a-sscc53895.2021.9634809,9634809,90,crossref_venue_year:2021,publisher_pdf_requires_session,6
An Energy-Efficient Deep Reinforcement Learning FPGA Accelerator for Online Fast Adaptation with Selective Mixed-precision Re-training,Wooyoung Jo; Juhyoung Lee; Seunghyun Park; Hoi-Jun Yoo,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Digital IC & Architecture,,10.1109/a-sscc53895.2021.9634810,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634810,https://doi.org/10.1109/a-sscc53895.2021.9634810,9634810,89.9,crossref_venue_year:2021,publisher_pdf_requires_session,3
An Input-buffer Embedding Dual-residue Pipelined-SAR ADC with Nonbinary Capacitive Interpolation,Seung-Yong Lim; Raymond Mabilangan; Dong-Jin Chang; Young-Jae Cho; Michael Choi; Seung-Tak Ryu,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc53895.2021.9634731,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634731,https://doi.org/10.1109/a-sscc53895.2021.9634731,9634731,99.9,crossref_venue_year:2021,publisher_pdf_requires_session,4
An Output Capacitor-less Low-dropout Regulator using a Wide-range Single-stage Gain-boosted Error Amplifier and a Frequency-dependent Buffer with a Total Compensation Capacitance of 2.5 pF in 0.5 µm CMOS,Hyeon-Ji Choi; Joo-Mi Cho; Hyo-Jin Park; Sung-Wan Hong,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Power Management,,10.1109/a-sscc53895.2021.9634819,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634819,https://doi.org/10.1109/a-sscc53895.2021.9634819,9634819,100,crossref_venue_year:2021,publisher_pdf_requires_session,7
An Ultra-Low Close-In Phase Noise Series-Resonance BAW Oscillator in a 130-nm BiCMOS process,Sachin Kalia; Bichoy Bahr; Tolga Dinc; Baher Haroun; Swaminathan Sankaran,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Clocking & Frequency Generation,,10.1109/a-sscc53895.2021.9634779,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634779,https://doi.org/10.1109/a-sscc53895.2021.9634779,9634779,90,crossref_venue_year:2021,publisher_pdf_requires_session,5
An integrated 8A pulsed VCSEL array driver under 12V supply with built-in pulse monitor and automatic peak current control for direct time-of-flight applications,Tao Xia; Xuefeng Chen; Yuwei Wang; Yuan Li; Yifan Wu; Lei Wang; Liujia Song; Shenglong Zhuo; Zhihong Lin; Patrick Yin Chiang,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634829,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634829,https://doi.org/10.1109/a-sscc53895.2021.9634829,9634829,89.9,crossref_venue_year:2021,publisher_pdf_requires_session,4
Auto-Calibration Technique for Current-Based Bandgap Voltage Reference,U Chi-Wa; Man-Kay Law; Chi-Seng Lam; Rui P. Martins,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc53895.2021.9634776,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634776,https://doi.org/10.1109/a-sscc53895.2021.9634776,9634776,100,crossref_venue_year:2021,publisher_pdf_requires_session,5
CIM-SECDED: A 40nm 64Kb Compute In-Memory RRAM Macro with ECC Enabling Reliable Operation,Brian Crafton; Samuel Spetalnick; Jong-Hyeok Yoon; Wei Wu; Carlos Tokunaga; Vivek De; Arijit Raychowdhury,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Memory & Compute-in-Memory,,10.1109/a-sscc53895.2021.9634742,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634742,https://doi.org/10.1109/a-sscc53895.2021.9634742,9634742,110.6,crossref_venue_year:2021,publisher_pdf_requires_session,20
Correlated Dual-Loop Sturdy MASH CT ΔΣ ADC with Indirect Signal Feedforward,Beomsoo Park; Changsok Han; Nima Maghari,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc53895.2021.9634766,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634766,https://doi.org/10.1109/a-sscc53895.2021.9634766,9634766,90,crossref_venue_year:2021,publisher_pdf_requires_session,7
Dynamic Voltage Stress Sensing Circuits for Screening Out Early Device Reliability Issues in Advanced Technology Nodes,Ghil-Geun Oh; Min-Hye Ho; Yeon-Jung Shin; Jae-Wook Choi; Ju-Youn Kim; Young-Dae Kim,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,"Devices, Process & 3D Integration",,10.1109/a-sscc53895.2021.9634812,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634812,https://doi.org/10.1109/a-sscc53895.2021.9634812,9634812,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,2
Energy Efficient Design Through Design and Technology Co-Optimization Near the Finish Line of CMOS Scaling,Shenggao Li; Chien-Chun Tsai; Eric Soenen; Frank J C Lee; Cheng-Hsiang Hsieh,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634774,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634774,https://doi.org/10.1109/a-sscc53895.2021.9634774,9634774,99.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
Energy-efficient charge sharing-based 8T2C SRAM in-memory accelerator for binary neural networks in 28nm CMOS,Hyunmyung Oh; Hyungjun Kim; Daehyun Ahn; Jihoon Park; Yulhwa Kim; Inhwan Lee; Jae-Joon Kim,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Memory & Compute-in-Memory,,10.1109/a-sscc53895.2021.9634784,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634784,https://doi.org/10.1109/a-sscc53895.2021.9634784,9634784,109.9,crossref_venue_year:2021,publisher_pdf_requires_session,3
FPGA-Based Ordered Statistic Decoding Architecture for B5G/6G URLLC IIOT Networks,Changhyeon Kim; Dongyoung Rim; Jeongwon Choe; Dongyun Kam; Giyoon Park; Seokki Kim; Youngjoo Lee,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634714,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634714,https://doi.org/10.1109/a-sscc53895.2021.9634714,9634714,90,crossref_venue_year:2021,publisher_pdf_requires_session,7
FlashMAC: An Energy-Efficient Analog-Digital Hybrid MAC with Variable Latency-Aware Scheduling,Surin Gweon; Sanghoon Kang; Donghyeon Han; Kyoung-Rog Lee; Kwantae Kim; Hoi-Jun Yoo,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634746,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634746,https://doi.org/10.1109/a-sscc53895.2021.9634746,9634746,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
Modeling Attack Resistant Strong PUF Exploiting Obfuscated Interconnections With <0.83% Bit-Error Rate,Chongyao Xu; Jieyun Zhang; Man-Kay Law; Yang Jiang; Xiaojin Zhao; Pui-In Mak; Rui P. Martins,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Security & Reliability,,10.1109/a-sscc53895.2021.9634729,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634729,https://doi.org/10.1109/a-sscc53895.2021.9634729,9634729,90,crossref_venue_year:2021,publisher_pdf_requires_session,6
RAODAT: An Energy-Efficient Reconfigurable AI-based Object Detection and Tracking Processor with Online Learning,Yuchuan Gong; Qingsong Liu; Luying Que; Conghan Jia; Jiahui Huang; Ye Liu; Jiayan Gan; Yuxiang Xie; Yong Zhou; Lili Liu; Xiaoqiang Xiang; Liang Chang; Jun Zhou,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Digital IC & Architecture,,10.1109/a-sscc53895.2021.9634785,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634785,https://doi.org/10.1109/a-sscc53895.2021.9634785,9634785,90,crossref_venue_year:2021,publisher_pdf_requires_session,5
Realizing Direct Convolution in Memory with Systolic-RAM,Jacob N. Rohan; Jaydeep P. Kulkarni,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Memory & Compute-in-Memory,,10.1109/a-sscc53895.2021.9634800,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634800,https://doi.org/10.1109/a-sscc53895.2021.9634800,9634800,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
Self-powered light sensor for simultaneous intensity-and-direction sensing and maximum-energy harvesting with shared photodiodes,Tai-Haur Kuo; Kuan-Yu Chen; Hsiao-Ping Lin; Shang-Jung Liu,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Power Management,,10.1109/a-sscc53895.2021.9634781,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634781,https://doi.org/10.1109/a-sscc53895.2021.9634781,9634781,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
Tiny neural network search and implementation for embedded FPGA: a software-hardware co-design approach,Jinyu Bai; Yunqian Fan; Sifan Sun; Wang Kang; Weisheng Zhao,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,General IC,,10.1109/a-sscc53895.2021.9634749,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634749,https://doi.org/10.1109/a-sscc53895.2021.9634749,9634749,89.9,crossref_venue_year:2021,publisher_pdf_requires_session,3
Zero Current Detector with Slope Judgement Calibration in Mobile Battery Charger IC,Kye-Seok Yoon; Hye-Bong Ko; Jin-Woo So; Sung-Woo Lee; Sung-Kyu Cho; Woon-Hyung Heo; Ho-Sung Son; Seung-Hoon Kim; Dong-Joon Kim; Kwon-Yub Hyung; Dae-Woong Cho; Jung-Wook Heo; Hyoung-Seok Oh; Sung-Ung Kwak,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,Power Management,,10.1109/a-sscc53895.2021.9634777,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634777,https://doi.org/10.1109/a-sscc53895.2021.9634777,9634777,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,1
–17 dBm Differential charge pump EPC Gen2 UHF RFID demodulator for 9 dB receive sensitivity boost,Anand Savanth; Philex Fan; Sahan Gamage; Thanushree Achuthan; Fernando Garcia-Redondo,,2021 IEEE Asian Solid-State Circuits Conference (A-SSCC),2021,ASSCC,A,RF/mmWave & Wireline,,10.1109/a-sscc53895.2021.9634715,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9634715,https://doi.org/10.1109/a-sscc53895.2021.9634715,9634715,89.8,crossref_venue_year:2021,publisher_pdf_requires_session,0
110.1dB DR 4-ch Audio ADCs and 98dB DR 2-ch Voice-Triggering ADCs in Reconfigurable Architecture with Enhanced Off-Transistor-Based Bias Noise Filter,Moo-Yeol Choi; Inhwan Cho; Myungjin Lee; Seunghyun Oh; Jongwoo Lee,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc56115.2022.9980832,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980832,https://doi.org/10.1109/a-sscc56115.2022.9980832,9980832,110.1,crossref_venue_year:2022,publisher_pdf_requires_session,1
"A -50 to 130°C, 38.69 pJ/conv Fully Integrated SAR Temperature Sensor Based on Direct Temperature-Voltage Comparison",Jooeun Kim; Jeongmyeong Kim; Changjoo Park; Minkyu Yang; Wanyeong Jung,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc56115.2022.9980768,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980768,https://doi.org/10.1109/a-sscc56115.2022.9980768,9980768,90.3,crossref_venue_year:2022,publisher_pdf_requires_session,4
A 0.0043-mm 2 Capacitorless External-Clock-Free Fully-Synthesizable Digital LDO Using Load-Direct Droop Detector and Time-Based Load-State Decision,Jonghyun Oh; Yoonho Song; Young-Ha Hwang; Jun-Eun Park; Mingoo Seok; Deog-Kyoon Jeong,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,Power Management,,10.1109/a-sscc56115.2022.9980658,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980658,https://doi.org/10.1109/a-sscc56115.2022.9980658,9980658,90.3,crossref_venue_year:2022,publisher_pdf_requires_session,5
A 0.0308mm 2 4.15pJ/conv VCO-Based Current Sensing Front-End with 2 nd -Order Δ 2 ΔΣ Modulation,Jee-Ho Park; Ji-Hyoung Cha; Yongjae Park; Seong-Jin Kim,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,RF/mmWave & Wireline,,10.1109/a-sscc56115.2022.9980823,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980823,https://doi.org/10.1109/a-sscc56115.2022.9980823,9980823,90.2,crossref_venue_year:2022,publisher_pdf_requires_session,3
A 0.24 mmHg (1σ) Resolution Half-Bridge-to-Digital Converter with RC Delay-Based Pressure Sensing and Energy-Efficient Bit-Level Oversampling Techniques for Implantable Miniature Systems,Donguk Seo; Minsik Cho; Minhyeok Jeong; Gicheol Shin; Inhee Lee; Yoonmyung Lee,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,"Biomedical, Sensor & Imaging IC",,10.1109/a-sscc56115.2022.9980628,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980628,https://doi.org/10.1109/a-sscc56115.2022.9980628,9980628,90.1,crossref_venue_year:2022,publisher_pdf_requires_session,1
A 0.3V 762nW-Only Binary-Search Phase ADC With Current-Reused RO-based Comparator,Sifan Wang; Kejin Li; Chi-Hang Chan; Yan Zhu; Rui Paulo Martins,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc56115.2022.9980643,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980643,https://doi.org/10.1109/a-sscc56115.2022.9980643,9980643,100.1,crossref_venue_year:2022,publisher_pdf_requires_session,1
A 0.55mm 2 16.9mW Fully Integrated 0-to-200MHz System BW Wireless Direct Sampling Receiver in 14nm FinFET,Ilhoon Jang; Barosaim Sung; Jaehoon Lee; Soonwoo Choi; Byoungjoong Kang; Suseob Ahn; Kyungmin Lee; Taejin Jang; Kwangmin Lim; Anna Yu; Yong Lim; Seunghyun Oh; Jongwoo Lee,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,RF/mmWave & Wireline,,10.1109/a-sscc56115.2022.9980650,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980650,https://doi.org/10.1109/a-sscc56115.2022.9980650,9980650,90.1,crossref_venue_year:2022,publisher_pdf_requires_session,1
A 0.56V/0.8V Vision Sensor with Temporal Contrast Pixel and Column-Parallel Local Binary Pattern Extraction for Dynamic Depth Sensing Using Stereo Vision,Min-Yang Chiu; Guan-Cheng Chen; Yu-Hsiang Huang; Tzu-Hsiang Hsu; Chung-Chuan Lo; Ren-Shuo Liu; Meng-Fan Chang; Kea-Tiong Tang; Chih-Cheng Hsieh,,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC),2022,ASSCC,A,General IC,,10.1109/a-sscc56115.2022.9980799,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980799,https://doi.org/10.1109/a-sscc56115.2022.9980799,9980799,90.1,crossref_venue_year:2022,publisher_pdf_requires_session,1
